total_threads,processos,threads_por_processo,amostras,execucao,tempo_seg,iteracoes
4,1,4,70000,2,17.320989,129
4,1,4,70000,3,17.309608,129
8,1,8,70000,1,8.707253,129
8,1,8,70000,2,8.705001,129
8,1,8,70000,3,8.698084,129
16,1,16,70000,1,4.575285,129
16,1,16,70000,2,4.575715,129
16,1,16,70000,3,4.578192,129
32,1,32,70000,1,2.378558,129
32,1,32,70000,2,2.371739,129
32,1,32,70000,3,2.372459,129
2,2,1,70000,1,34.495636,129
2,2,1,70000,2,34.496345,129
2,2,1,70000,3,34.499578,129
4,2,2,70000,1,17.354978,129
4,2,2,70000,2,17.410554,129
4,2,2,70000,3,17.365468,129
8,2,4,70000,1,8.753138,129
8,2,4,70000,2,8.743776,129
8,2,4,70000,3,8.745302,129
16,2,8,70000,1,4.604784,129
16,2,8,70000,2,4.592497,129
16,2,8,70000,3,4.599466,129
32,2,16,70000,1,2.400342,129
32,2,16,70000,2,2.370165,129
32,2,16,70000,3,2.386720,129
64,2,32,70000,1,1.571207,129
64,2,32,70000,2,1.836352,129
64,2,32,70000,3,1.800831,129
4,4,1,70000,1,17.322048,129
4,4,1,70000,2,17.312316,129
4,4,1,70000,3,17.310211,129
8,4,2,70000,1,8.822607,129
8,4,2,70000,2,8.765263,129
8,4,2,70000,3,8.756331,129
16,4,4,70000,1,4.593184,129
16,4,4,70000,2,4.596034,129
16,4,4,70000,3,4.596224,129
32,4,8,70000,1,2.367888,129
32,4,8,70000,2,2.374015,129
32,4,8,70000,3,2.401627,129
64,4,16,70000,1,1.625353,129
64,4,16,70000,2,1.543480,129
64,4,16,70000,3,2.224868,129
8,8,1,70000,1,8.782141,129
8,8,1,70000,2,8.785031,129
8,8,1,70000,3,8.748009,129
16,8,2,70000,1,4.625989,129
16,8,2,70000,2,4.614414,129
16,8,2,70000,3,4.629172,129
32,8,4,70000,1,2.392436,129
32,8,4,70000,2,2.423696,129
32,8,4,70000,3,2.385384,129
64,8,8,70000,1,1.581413,129
64,8,8,70000,2,1.570015,129
64,8,8,70000,3,1.983954,129
16,16,1,70000,1,4.556442,129
16,16,1,70000,2,4.529529,129
16,16,1,70000,3,4.559616,129
32,16,2,70000,1,2.415038,129
